"";"title";"year";"length";"budget";"rating";"votes"
"1018";"Dancing at Lughnasa";1998;95;NA;6,2;833
"1019";"Dancing at the Blue Iguana";2000;126;NA;5,8;778
"1020";"Dancing in September";2000;102;850000;6,4;166
"1021";"Dang doi lai ming";1983;100;NA;7;137
"1022";"Dangerous Beauty";1998;111;NA;7;2714
"1023";"Dangerous Lives of Altar Boys, The";2002;105;12000000;7,2;3274
"1024";"Dangerous Minds";1995;99;NA;5,7;6177
"1025";"Dangerous Prey";1995;93;NA;3,5;74
"1026";"Danny Deckchair";2003;90;NA;6,5;643
"1027";"Dante's Peak";1997;104;104000000;5,6;9203
"1028";"Dante's View";1998;85;NA;4,2;20
"1029";"Dare mo shiranai";2004;141;NA;8,2;850
"1030";"Daredevil";2003;133;75000000;5,7;20642
"1031";"Dark Asylum";2001;83;NA;3,7;202
"1032";"Dark Blue";2002;118;15000000;6,6;3882
"1033";"Dark Breed";1996;104;NA;4,2;85
"1034";"Dark Confessions";1998;92;NA;3,8;20
"1035";"Dark Dancer, The";1995;98;NA;2,5;89
"1036";"Dark Descent";2002;96;NA;2,9;75
"1037";"Dark Harbor";1998;96;NA;4,9;322
"1038";"Dark Heaven";2002;87;80000;2,4;47
"1039";"Dark Planet";1996;99;NA;3,3;155
"1040";"Dark Secrets";1998;91;NA;3,2;43
"1041";"Darkdrive";1996;88;NA;2,8;75
"1042";"Darkening, The";1995;80;NA;4,5;13
"1043";"Darkness Falling";2002;85;NA;3,9;49
"1044";"Darkness Falls";1999;90;NA;5,5;112
"1045";"Darkness Falls";2003;86;11000000;4,5;4928
"1046";"Dawn of the Dead";2004;109;28000000;7,4;16283
"1047";"Day After Tomorrow, The";2004;124;125000000;6,3;23749
"1048";"Day Without a Mexican, A";2004;100;1500000;5;561
"1049";"Day of Defense";2003;102;500000;3;8
"1050";"Day of the Warrior";1996;96;NA;3,1;130
"1051";"Day with the Meatball, A";2002;2;NA;5,7;30
"1052";"Daylight";1996;110;80000000;5,4;6979
"1053";"Daytrippers, The";1996;87;NA;6,9;1300
"1054";"De-Lovely";2004;125;NA;6,7;2039
"1055";"Dead & Breakfast";2004;88;NA;5,8;135
"1056";"Dead Babies";2000;100;1000000;4,3;172
"1057";"Dead Beat";1994;93;NA;4,9;66
"1058";"Dead Birds";2004;91;NA;5,9;421
"1059";"Dead Cold";1995;91;NA;4,7;64
"1060";"Dead Easy";2004;97;NA;2,7;18
"1061";"Dead Funny";1994;96;NA;4,3;119
"1062";"Dead Hate the Living!, The";2000;90;150000;4,3;496
"1063";"Dead Innocent";1996;91;NA;5,5;64
"1064";"Dead Man Walking";1995;122;11000000;7,6;16177
"1065";"Dead Man on Campus";1998;96;14000000;5,4;2829
"1066";"Dead Man's Curve";1998;90;1000000;5,7;1241
"1067";"Dead Men Can't Dance";1997;97;NA;4,4;179
"1068";"Dead Presidents";1995;119;15000000;6,3;2641
"1069";"Dead Tides";1997;100;NA;4,9;99
"1070";"Dead in the Water";2002;90;NA;4,8;225
"1071";"Dead of Night";1996;95;NA;4,4;54
"1072";"Dead or Alive: Hanzaisha";1999;105;NA;6,9;1260
"1073";"Deadly Advice";1993;91;NA;6,1;85
"1074";"Deadly Charades";1996;92;NA;3,3;11
"1075";"Deadly Heroes";1994;105;NA;2,5;97
"1076";"Deadly Little Secrets";2001;92;NA;4,2;62
"1077";"Deadly Outbreak";1995;87;NA;3,6;105
"1078";"Deadly Ransom";1997;92;NA;1,6;29
"1079";"Deadly Rhapsody";2001;95;NA;2,7;16
"1080";"Deadly Sins";1995;98;NA;4,1;173
"1081";"Deal of a Lifetime";1999;94;NA;4,2;136
"1082";"Dear Frankie";2004;105;NA;8,4;880
"1083";"Dear God";1996;112;NA;4,9;911
"1084";"Death 4 Told";2004;96;85000;1,7;45
"1085";"Death Machine";1995;120;NA;5,2;453
"1086";"Death Valley: The Revenge of Bloody Bill";2004;88;NA;4;69
"1087";"Death Wish Club";1983;85;NA;1,9;20
"1088";"Death to Smoochy";2002;109;55000000;6,3;8003
"1089";"Deathwatch";2002;94;NA;5,6;1295
"1090";"Decade Under the Influence, A";2003;108;NA;7;311
"1091";"Deceiver";1997;101;NA;6,4;1486
"1092";"Deconstructing Harry";1997;96;20000000;7,1;7342
"1093";"Decoy";1995;98;NA;4,6;118
"1094";"Decoys";2004;95;5000000;4,2;580
"1095";"Deep Blue Sea";1999;105;78000000;5,5;17666
"1096";"Deep Core";2000;80;NA;3,3;257
"1097";"Deep Down";1994;85;NA;3,5;43
"1098";"Deep End of the Ocean, The";1999;106;40000000;5,9;2890
"1099";"Deep End, The";2001;101;3000000;6,8;3524
"1100";"Deep Impact";1998;120;75000000;5,9;22684
"1101";"Deep Rising";1998;97;45000000;5,4;4626
"1102";"Defender, The";2004;90;6000000;6,3;58
"1103";"Defiance";2002;72;NA;3,4;23
"1104";"Dei seung chui keung";2001;89;NA;4,9;17
"1105";"Deliver Us from Eva";2003;105;NA;5,8;786
"1106";"Delivered";1998;93;1000000;5,1;73
"1107";"Delivering Milo";2001;94;NA;4,9;201
"1108";"Dellamorte Dellamore";1994;105;4000000;7,3;2313
"1109";"Delta Force One: The Lost Patrol";1999;93;NA;3,1;57
"1110";"Delta of Venus";1995;95;NA;4,8;312
"1111";"Demolition High";1996;84;NA;3,7;187
"1112";"Demolitionist, The";1995;100;1000000;4,1;238
"1113";"Demon Island";2002;85;NA;2,7;465
"1114";"Demonlover";2002;117;NA;5,6;829
"1115";"Denise Calls Up";1995;80;NA;6,8;493
"1116";"Dennis the Menace";1993;94;NA;4,8;3579
"1117";"Dentist II, The";1998;100;1800000;4,1;401
"1118";"Dentist, The";1996;92;NA;4,7;1026
"1119";"Derailed";2002;89;18000000;3,4;1075
"1120";"Desert Blue";1998;90;NA;6,2;677
"1121";"Desert Blues";1995;90;NA;2,3;8
"1122";"Desert Saints";2002;91;NA;6,1;554
"1123";"Desesperados, Los";1969;105;NA;5,6;27
"1124";"Designated Mourner, The";1997;94;NA;6,5;102
"1125";"Desires of Innocence";1997;88;NA;1,7;23
"1126";"Desperado";1995;106;7000000;6,8;17929
"1127";"Desperate But Not Serious";1999;94;NA;3,9;137
"1128";"Desperate Measures";1998;100;NA;5,6;2956
"1129";"Destination Vegas";1995;78;NA;2,5;45
"1130";"Destino";2003;7;1500000;7,8;156
"1131";"Destiny Turns on the Radio";1995;102;NA;4,1;658
"1132";"Detention";2003;98;10000000;4,1;223
"1133";"Detonator";2003;92;NA;4;52
"1134";"Detour";1999;93;NA;4,3;94
"1135";"Detroit Rock City";1999;95;15000000;6;4607
"1136";"Deuce Bigalow: Male Gigolo";1999;88;18000000;5,6;9897
"1137";"Deuce Coupe";1992;106;NA;4,3;26
"1138";"Deuces Wild";2002;100;10000000;5,3;1511
"1139";"Deviants, The";2004;80;NA;5,2;93
"1140";"Devil in a Blue Dress";1995;102;NA;6,5;2483
"1141";"Devil's Advocate, The";1997;144;57000000;7;26904
"1142";"Devil's Harvest";2003;92;NA;3,7;23
"1143";"Devil's Own, The";1997;111;80000000;5,7;8485
"1144";"Devil's Pond";2003;92;5000000;5,6;370
"1145";"Devil's Prey";2001;88;NA;3,2;237
"1146";"Devious Beings";2002;97;NA;3,5;83
"1147";"Devotion";1995;123;NA;5,1;9
"1148";"DiG!";2004;107;NA;8;350
"1149";"Diabolique";1996;107;NA;5;3103
"1150";"Diagnosis: Murder";1975;95;NA;6,1;34
"1151";"Diamond Men";2000;100;NA;6,8;511
"1152";"Diamond Run";1996;110;NA;2,6;18
"1153";"Diamonds";1999;91;NA;5,4;407
"1154";"Diarios de motocicleta";2004;128;NA;8;8479
"1155";"Diary of a City Priest";2001;77;NA;6,1;36
"1156";"Diary of a Mad Black Woman";2005;116;5500000;3,9;837
"1157";"Diary of a Sex Addict";2001;93;NA;2,9;333
"1158";"Dick";1999;94;13000000;6,3;5004
"1159";"Dickie Roberts: Former Child Star";2003;98;17000000;5,5;2076
"1160";"Die Another Day";2002;133;142000000;6,4;22136
"1161";"Die Hard: With a Vengeance";1995;131;90000000;7;25258
"1162";"Die xue shuang xiong";1989;104;NA;8;9323
"1163";"Die, Mommie, Die";2003;90;NA;6,2;538
"1164";"Different Loyalty, A";2004;96;13000000;5;135
"1165";"Different Strokes";1998;75;NA;3,1;116
"1166";"Different for Girls";1996;92;NA;6,8;534
"1167";"Digging to China";1998;98;NA;6,4;528
"1168";"Digimon: The Movie";2000;82;5000000;3,4;455
"1169";"Digital Man";1995;95;NA;4,6;83
"1170";"Dill Scallion";1999;91;500000;5,1;136
"1171";"Dillinger and Capone";1995;95;NA;4,4;83
"1172";"Dinner Rush";2000;99;NA;7,3;1231
"1173";"Dinner at Fred's";1999;93;NA;5,1;70
"1174";"Dinosaur";2000;82;127500000;6,3;5839
"1175";"Diplomatic Siege";1999;96;45000000;3,5;340
"1176";"Direct Action";2004;97;NA;5,3;66
"1177";"Dirt";2001;102;NA;5,5;95
"1178";"Dirty Dancing: Havana Nights";2004;86;NA;5,4;1667
"1179";"Dirty Deeds";2002;97;NA;6,2;761
"1180";"Dirty Dingus Magee";1970;91;NA;5,2;145
"1181";"Dirty Pretty Things";2002;97;10000000;7,6;6274
"1182";"Dirty Shame, A";2004;89;NA;6,1;472
"1183";"Dirty Work";1998;82;13000000;5,9;4252
"1184";"Disappearance of Garcia Lorca, The";1997;114;NA;5,9;292
"1185";"Disappearance of Kevin Johnson, The";1997;105;NA;5,8;108
"1186";"Disaster";2001;90;NA;2,6;45
"1187";"Dish, The";2000;97;NA;7,3;4629
"1188";"Distraction, The";1999;86;NA;5,9;19
"1189";"Disturbing Behavior";1998;84;15000000;5,1;4620
"1190";"Divine Secrets of the Ya-Ya Sisterhood";2002;116;27000000;5,5;4288
"1191";"Divorce, Le";2003;117;NA;4,9;2314
"1192";"Do Me a Favor";1997;103;NA;5,1;101
"1193";"Do Not Disturb";1999;94;NA;4,7;678
"1194";"Do You Wanna Know a Secret?";2001;90;NA;2,8;205
"1195";"Dobermann";1997;103;NA;6,5;2791
"1196";"Doctor Dolittle";1998;85;71500000;5,4;8287
"1197";"Doctor Sleep";2002;108;10000000;6,2;609
"1198";"Doctor Zhivago";1965;200;11000000;7,9;10283
"1199";"Dodgeball: A True Underdog Story";2004;92;20000000;6,6;14584
"1200";"Dog Gone Love";2004;89;NA;5,8;27
"1201";"Dog Park";1998;91;NA;5,4;802
"1202";"Dog Soldiers";2002;104;NA;6,8;5782
"1203";"Dog of Flanders, A";1999;100;7000000;6;179
"1204";"Dogma";1999;130;10000000;7,3;43391
"1205";"Dogs: The Rise and Fall of an All-Girl Bookie Joint";1996;80;NA;3,8;28
"1206";"Dogtown and Z-Boys";2001;91;NA;7,4;1555
"1207";"Dogville";2003;135;NA;8;14307
"1208";"Dolly Dearest";1992;93;NA;3,7;168
"1209";"Dolores Claiborne";1995;132;NA;7,2;5446
"1210";"Dom durakov";2002;104;2500000;6,8;382
"1211";"Domestic Disturbance";2001;91;53000000;5,4;4445
"1212";"Dominion";1995;95;1300000;5;85
"1213";"Don't Be a Menace to South Central While Drinking Your Juice in the Hood";1996;89;NA;5,7;3515
"1214";"Don't Do It";1994;90;NA;3,6;70
"1215";"Don't Let Go";2002;87;NA;7,9;9
"1216";"Don't Say a Word";2001;113;50000000;6,2;10098
"1217";"Don't Sleep Alone";1997;97;NA;1,9;17
"1218";"Donnie Brasco";1997;127;35000000;7,6;20029
"1219";"Donnie Darko";2001;133;4500000;8,3;51961
"1220";"Donor, The";1997;94;NA;4,6;67
"1221";"Doom Generation, The";1995;72;NA;5;2780
"1222";"Doomsdayer";2000;93;NA;4,3;70
"1223";"Door in the Floor, The";2004;111;NA;6,9;1947
"1224";"Doorway, The";2000;90;NA;4;118
"1225";"Dopamine";2003;85;NA;5,2;355
"1226";"Dot the I";2003;92;NA;6,7;617
"1227";"Double Bang";2001;104;NA;5,2;135
"1228";"Double Deception";2001;87;NA;4,3;43
"1229";"Double Happiness";1994;87;NA;7,2;356
"1230";"Double Jeopardy";1999;105;40000000;5,9;13587
"1231";"Double Take";1997;86;NA;5;103
"1232";"Double Take";2001;91;24000000;4,8;1503
"1233";"Double Tap";1997;87;8000000;5,3;184
"1234";"Double Team";1997;93;NA;3,9;2857
"1235";"Double Whammy";2001;100;4000000;5,6;886
"1236";"Down 'n Dirty";2000;102;NA;3,1;57
"1237";"Down Periscope";1996;92;NA;5,2;3247
"1238";"Down Time";2001;90;20000;3,5;55
"1239";"Down and Derby";2005;93;NA;5,8;17
"1240";"Down and Out with the Dolls";2001;88;1200000;6;37
"1241";"Down for the Barrio";1997;87;NA;1,3;13
"1242";"Down in the Delta";1998;112;NA;7;427
"1243";"Down to Earth";2001;87;30000000;5,1;3720
"1244";"Down to You";2000;91;9000000;4,7;3232
"1245";"Down with Love";2003;101;NA;6,5;7426
"1246";"Downward Angel";2001;97;NA;3,9;41
"1247";"Dr T and the Women";2000;122;12000000;4,8;4776
"1248";"Dr. Dolittle 2";2001;87;72000000;5,1;4920
"1249";"Dr. Jekyll and Ms. Hyde";1995;90;8000000;4,2;573
"1250";"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb";1964;93;1800000;8,7;63471
"1251";"Dracula";1992;128;40000000;7,1;19972
"1252";"Dracula 2000";2000;99;28000000;4,9;5364
"1253";"Dracula 3000";2004;86;NA;1,8;392
"1254";"Dracula II: Ascension";2003;85;NA;4,2;537
"1255";"Dracula: Dead and Loving It";1995;88;NA;4,6;3557
"1256";"Dragonfly";2002;104;60000000;5,8;5431
"1257";"Drawn to the Flame";1997;92;NA;4,5;20
"1258";"Dream Warrior";2004;95;NA;2,7;57
"1259";"Dream for an Insomniac";1996;90;NA;6;865
"1260";"Dreamcatcher";2003;134;68000000;5,2;10403
"1261";"Dreamers, The";2003;112;NA;7;4936
"1262";"Dreaming of Joseph Lees";1999;92;NA;5,1;257
"1263";"Dreammaster: The Erotic Invader";1996;86;NA;4,2;45
"1264";"Drive";1997;117;3500000;6,4;1086
"1265";"Drive Me Crazy";1999;91;8000000;5,1;2934
"1266";"Driven";2001;116;72000000;4,4;7129
"1267";"Droid Gunner";1995;90;NA;3,1;77
"1268";"Drop Dead Roses";2001;93;NA;2;118
"1269";"Drowning Mona";2000;95;16000000;5,4;3454
"1270";"Drowning on Dry Land";1999;88;NA;5,1;42
"1271";"Drumline";2002;118;20000000;5,3;7368
"1272";"Drunks";1995;90;NA;6;321
"1273";"Drylongso";1998;86;NA;6,5;24
"1274";"Duct Tape Forever";2002;90;NA;5,7;216
"1275";"Dude, Where's My Car?";2000;83;13000000;4,6;13330
"1276";"Dudley Do-Right";1999;77;22000000;3,6;1790
"1277";"Duets";2000;112;15000000;5,8;2414
"1278";"Duma";2005;100;NA;8,4;20
"1279";"Dumb & Dumber";1994;101;16000000;6,6;27713
"1280";"Dumb and Dumberer: When Harry Met Lloyd";2003;85;19000000;3,3;4689
"1281";"Dummy";2002;90;NA;6,8;1022
"1282";"Dung fong saam hap";1993;86;NA;6,7;726
"1283";"Dung fong tuk ying";1986;93;NA;7,2;220
"1284";"Dungeons & Dragons";2000;107;35000000;4;7435
"1285";"Dunston Checks In";1996;88;NA;4,7;1017
"1286";"Dunwich Horror, The";1970;90;NA;4,4;426
"1287";"Duplex";2003;89;40000000;5,7;4334
"1288";"Durango Kids";1999;87;NA;4,3;65
"1289";"Dust to Glory";2005;97;NA;7,6;57
"1290";"Dusting Cliff 7";1996;95;1300000;3,5;80
"1291";"DysFunktional Family";2003;89;3000000;5,6;207
"1292";"E.T. the Extra-Terrestrial";1982;120;10500000;7,8;44175
"1293";"Easier Said";1999;94;NA;3,4;39
"1294";"East of Eden";1955;115;NA;7,8;3802
"1295";"Eastside";1999;94;NA;4,9;55
"1296";"Easy";2003;99;NA;4,2;204
"1297";"Easy Come, Easy Go";1967;95;NA;3,8;165
"1298";"Easy Six";2003;90;NA;5;37
"1299";"Ed";1996;94;NA;2,8;562
"1300";"Ed Wood";1994;127;18000000;8;22612
"1301";"Ed's Next Move";1996;88;NA;6,2;210
"1302";"Eddie";1996;100;30000000;4,9;1348
"1303";"Eden";1996;106;NA;5,7;138
"1304";"Eden Myth, The";1999;88;NA;6,4;158
"1305";"Edge of Madness";2002;99;NA;6,4;106
"1306";"Edge of Sanity";1989;85;NA;4,5;154
"1307";"Edge, The";1997;117;NA;6,6;6035
"1308";"Edges of the Lord";2001;95;7500000;7;639
"1309";"Edtv";1999;122;60000000;6,2;10085
"1310";"Education of Little Tree, The";1997;112;NA;6,9;291
"1311";"Eight Crazy Nights";2002;76;NA;4,5;2074
"1312";"Eight Days a Week";1997;92;NA;5,9;791
"1313";"Eight Legged Freaks";2002;99;30000000;5,5;6362
"1314";"Eighteenth Angel, The";1998;95;25000000;4,6;557
"1315";"Eko eko azaraku III";1998;95;NA;5,1;33
"1316";"El 'Che' Guevara";1968;88;NA;5,1;13
"1317";"Election";1999;103;8500000;7,4;17521
"1318";"Electra";1996;87;NA;3,1;209
"1319";"Elektra";2005;96;43000000;4,9;5120
"1320";"Elephant";2003;81;3000000;7,3;9203
"1321";"Elf";2003;95;33000000;7;10165
"1322";"Elizabeth";1998;124;25000000;7,6;14733
"1323";"Ella Enchanted";2004;96;35000000;6,5;2502
"1324";"Elling";2001;89;NA;7,6;3014
"1325";"Elsker dig for evigt";2002;113;NA;7,7;1068
"1326";"Elvira's Haunted Hills";2001;90;1500000;5,2;307
"1327";"Elvis: That's the Way It Is";1970;94;NA;7;422
"1328";"Embrace of the Vampire";1994;93;800000;4,2;1551
"1329";"Embrace the Darkness";1999;93;NA;2,8;88
"1330";"Emile";2003;92;NA;6,1;119
"1331";"Emma";1996;121;6000000;6,9;6431
"1332";"Emmett's Mark";2002;104;4500000;6,2;427
"1333";"Emotional Backgammon";2003;93;NA;1,2;18
"1334";"Emperor's Club, The";2002;109;12500000;6,7;3056
"1335";"Emperor's New Clothes, The";2001;107;NA;7,1;680
"1336";"Empire";2002;90;3500000;6;1718
"1337";"Empire Records";1995;107;NA;6,2;8990
"1338";"Emploi du temps, L'";2001;134;NA;7,2;1090
"1339";"Employee of the Month";2004;97;NA;5,9;870
"1340";"Empty Mirror, The";1996;118;NA;4,8;110
"1341";"End of Days";1999;121;83000000;5,3;18237
"1342";"End of Violence, The";1997;122;5000000;5,4;1575
"1343";"End of the Affair, The";1999;102;23000000;7;4808
"1344";"End of the Law";2003;88;NA;3,3;22
"1345";"Endangered Species";2002;94;NA;5,1;44
"1346";"Endurance";1999;83;NA;5,8;82
"1347";"Enduring Love";2004;101;NA;6,5;559
"1348";"Enemy at the Gates";2001;131;70000000;7,3;19169
"1349";"Enemy of the State";1998;131;90000000;7,1;23263
"1350";"English Patient, The";1996;160;27000000;7,1;25210
"1351";"Englishman Who Went Up a Hill But Came Down a Mountain, The";1995;99;NA;6,5;3265
"1352";"Enigma";2001;119;NA;6,7;4291
"1353";"Enough";2002;115;38000000;4,9;4339
"1354";"Enter the Dragon";1973;99;850000;7,4;8078
"1355";"Entertaining Angels: The Dorothy Day Story";1996;112;NA;5,6;123
"1356";"Entrapment";1999;113;66000000;6,1;18543
"1357";"Envy";1999;83;NA;6,2;96
"1358";"Envy";2004;99;40000000;4,3;3417
"1359";"Epicenter";2000;99;NA;4;204
"1360";"Epsilon";1997;92;NA;5;95
"1361";"Equilibrium";2002;107;20000000;7,6;17579
"1362";"Equinox Knocks";1999;111;NA;4,8;38
"1363";"Era of Vampire, The";2002;90;1000000;4,2;329
"1364";"Eraser";1996;115;100000000;5,8;14641
"1365";"Erin Brockovich";2000;130;51000000;7,3;24301
"1366";"Ernest Goes to Africa";1997;90;NA;3,3;198
"1367";"Ernest in the Army";1998;85;NA;3,6;184
"1368";"Eros";2004;104;NA;5,4;139
"1369";"Erotique";1994;84;NA;4,3;133
"1370";"Escanaba in da Moonlight";2001;91;1000000;5,5;373
"1371";"Escape Velocity";1998;100;NA;3,7;90
"1372";"Escape from Cuba";2003;97;NA;5,7;19
"1373";"Escape from L.A.";1996;101;50000000;4,8;7955
"1374";"Esmeraldero";2002;117;NA;3,1;10
"1375";"Espinazo del diablo, El";2001;108;4500000;7,4;3474
"1376";"Essence of Echoes";2002;90;NA;1,9;23
"1377";"Essex Boys";2000;102;NA;5,4;410
"1378";"Est - Ouest";1999;121;NA;7,2;1266
"1379";"Eternal Sunshine of the Spotless Mind";2004;108;20000000;8,6;46240
"1380";"Eu Tu Eles";2000;104;NA;7;535
"1381";"Eulogy";2004;91;10000000;6,5;773
"1382";"EuroTrip";2004;90;25000000;6,1;8390
"1383";"Evasive Action";1998;91;NA;4,3;59
"1384";"Eve's Bayou";1997;109;5000000;7,2;2302
"1385";"Evelyn";2002;94;10000000;7,1;1163
"1386";"EvenHand";2002;92;500000;7,3;169
"1387";"Evening Star, The";1996;129;NA;5,5;996
"1388";"Event Horizon";1997;96;70000000;5,7;15510
"1389";"Event, The";2003;110;NA;6;276
"1390";"Ever After";1998;121;26000000;7;10250
"1391";"Evergreen";2004;86;NA;5,1;99
"1392";"Everlasting Piece, An";2000;103;14000000;6,1;475
"1393";"Everybody Loves Sunshine";1999;97;NA;4,6;171
"1394";"Everyone Says I Love You";1996;101;20000000;6,9;7314
"1395";"Everything Put Together";2000;87;500000;7,1;151
"1396";"Everything Relative";1996;110;NA;5,1;60
"1397";"Evicted";2000;99;NA;2,7;18
"1398";"Evil Alien Conquerors";2002;89;500000;3,8;111
"1399";"Evil Dead, The";1981;86;350000;7,4;14407
"1400";"Evil Ed";1997;93;NA;4,5;506
"1401";"Evil Eyes";2004;90;NA;3,9;19
"1402";"Evita";1996;134;55000000;6,2;8371
"1403";"Evolution";2001;101;80000000;5,8;14232
"1404";"Excalibur Kid, The";1999;88;NA;2,3;32
"1405";"Excellent Cadavers";1999;106;NA;6,2;210
"1406";"Exception to the Rule";1997;98;NA;4,8;88
"1407";"Excess Baggage";1997;101;NA;4,8;2881
"1408";"Executive Target";1997;92;NA;4,6;262
"1409";"Exit";1996;90;NA;3,4;47
"1410";"Exit Wounds";2001;101;33000000;5,3;5370
"1411";"Exit in Red";1996;97;NA;3;127
"1412";"Exorcism";2003;98;NA;5;42
"1413";"Exorcist: The Beginning";2004;114;30000000;5;4130
"1414";"Exotic House of Wax, The";1996;85;NA;2,9;72
"1415";"Exotica";1994;103;NA;7,2;4494
"1416";"Expect No Mercy";1995;91;NA;3,2;78
"1417";"Experiment, Das";2001;119;NA;7,8;6601
"1418";"Explorers";1985;109;NA;6;1830
"1419";"Exquisite Tenderness";1995;99;NA;4,1;147
"1420";"Extramarital";1999;90;NA;4,6;107
"1421";"Extreme Days";2001;93;NA;4,8;342
"1422";"Extreme Force";2001;90;NA;4,6;22
"1423";"Extreme Measures";1996;118;38000000;5,9;3417
"1424";"Extreme Ops";2002;94;40000000;4;1337
"1425";"Eye for an Eye";1996;101;20000000;5,6;1843
"1426";"Eye of God";1997;84;NA;7,5;437
"1427";"Eye of the Beholder";1999;109;15000000;4,5;5549
"1428";"Eye of the Wolf";1995;95;NA;4,2;28
"1429";"Eyes Wide Shut";1999;159;65000000;7;37868
"1430";"Eyes of Tammy Faye, The";2000;79;NA;7,4;424
"1431";"F-Zone, The";1999;101;NA;7;7
"1432";"Fa yeung nin wa";2000;94;NA;8;7380
"1433";"Facade";2000;93;6000000;4,8;93
"1434";"Face of the Serpent, The";2003;100;NA;5,1;24
"1435";"Face/Off";1997;133;80000000;7,1;37506
"1436";"Facing the Enemy";2001;98;NA;5;67
"1437";"Faculty, The";1998;104;15000000;6,1;13143
"1438";"Fade to Black";2004;109;NA;4,5;110
"1439";"Fahrenheit 9/11";2004;122;6000000;7,9;34666
"1440";"Fair Game";1995;91;50000000;3,9;2579
"1441";"FairyTale: A True Story";1997;99;NA;6,5;920
"1442";"Faithful";1996;91;13000000;5,6;414
"1443";"Fakin' Da Funk";1997;89;NA;5,2;111
"1444";"Falcon Down";2000;93;NA;4,4;112
"1445";"Fall, The";1998;94;NA;5,2;78
"1446";"Fallen";1998;123;NA;6,7;9367
"1447";"Fallen Angel";1997;99;NA;3,9;26
"1448";"Fallen Angels";2002;97;NA;4,8;29
"1449";"Falling Down";1993;113;NA;7,3;14536
"1450";"Falling Sky";1998;95;NA;5,3;109
"1451";"Fallout";1998;90;NA;3,2;113
"1452";"Falls, The";2003;85;75000;5,7;29
"1453";"Family Man, The";2000;125;60000000;6,5;11220
"1454";"Family Plan";1998;102;NA;4,6;142
"1455";"Family Thing, A";1996;109;NA;6,9;800
"1456";"Famous";2000;90;NA;6,1;252
"1457";"Fan, The";1996;114;55000000;5,4;6920
"1458";"Fangs";2001;94;NA;3;170
"1459";"Fantasma dell'opera, Il";1998;106;10000000;3,8;910
"1460";"Fantastic Voyage";1966;100;NA;6,7;2098
"1461";"Fantasticks, The";2000;86;NA;5,8;420
"1462";"Far Harbor";1996;99;NA;5;95
"1463";"Far from Heaven";2002;107;13500000;7,7;9167
"1464";"Fargo";1996;98;7000000;8,2;65597
"1465";"Farinelli";1994;111;NA;6,7;1176
"1466";"Farmhouse, The";1998;101;NA;5,5;28
"1467";"Fascination";2004;95;5000000;3,3;124
"1468";"Fast Food Fast Women";2000;95;NA;6,4;801
"1469";"Fast Money";1995;93;NA;5,5;306
"1470";"Fast Sofa";2001;109;NA;4;182
"1471";"Fast and the Furious, The";2001;106;38000000;5,7;21428
"1472";"Fast, Cheap & Out of Control";1997;80;NA;7,3;988
"1473";"Faster";2003;103;NA;6,4;93
"1474";"Fat Albert";2004;93;NA;4,2;1062
"1475";"Fatal Affair";1998;94;NA;4,9;82
"1476";"Fatal Conflict";2000;92;NA;2,3;47
"1477";"Fatal Pursuit";1998;103;NA;2,2;39
"1478";"Fate Totally Worse Than Death, A";2000;84;NA;3,9;42
"1479";"Fate ignoranti, Le";2001;109;NA;7,4;1216
"1480";"Father of the Bride Part II";1995;106;30000000;5,6;4089
"1481";"Fathers' Day";1997;98;85000000;4,7;2714
"1482";"Faust: Love of the Damned";2001;101;6000000;4,1;628
"1483";"Fear";1996;97;NA;5,6;4687
"1484";"Fear X";2003;91;6600000;5,9;742
"1485";"Fear of Flying";2000;96;NA;4,6;612
"1486";"Fear of the Dark";2002;86;NA;5,5;355
"1487";"Fear: Resurrection, The";1999;97;NA;2,8;165
"1488";"FearDotCom";2002;101;42000000;3,2;5126
"1489";"Feast at Midnight, A";1994;105;NA;6,5;130
"1490";"Feast of July";1995;116;NA;6,2;161
"1491";"Feedback";2002;88;NA;5,5;87
"1492";"Feeling Minnesota";1996;99;NA;5,2;2602
"1493";"Fei ying gai wak";1990;80;NA;6,9;1840
"1494";"Felicia's Journey";1999;116;NA;7;2519
"1495";"Fellini: Je suis un grand menteur";2002;105;NA;6,7;97
"1496";"Felony";1996;93;NA;3,6;72
"1497";"Female Trouble";1974;97;25000;7,1;868
"1498";"Femalien";1996;89;NA;4,8;208
"1499";"Femalien II";1998;92;NA;3,6;107
"1500";"Feminine Touch, The";1994;94;NA;4,6;45
"1501";"Femme Fatale";2002;114;35000000;6,4;6083
"1502";"Feng yue";1996;127;NA;6,8;506
"1503";"Feng yun xiong ba tian xia";1998;85;10000000;6,3;922
"1504";"Festen";1998;105;1300000;8,2;11983
"1505";"Festival Express";2003;90;NA;7,3;305
"1506";"Festival in Cannes";2001;100;NA;6,4;207
"1507";"Fetten Jahre sind vorbei, Die";2004;127;NA;7,9;1238
"1508";"Fever";1999;95;6000000;5,7;248
"1509";"Fever Pitch";1997;102;NA;6,7;1697
"1510";"Fever Pitch";2005;98;39690000;6,6;1712
"1511";"Fifth Element, The";1997;126;90000000;7,1;55398
"1512";"Fifth Ward";1998;110;NA;3,6;17
"1513";"Fight Club";1999;139;63000000;8,5;112092
